Supplier,Domain,Product Name,Catalog #,Type,Bands,Sizes (kDa),Product URL,PDF
Carl_Roth,carlroth.com,BlueRAY Prestained Protein Ladder,**1GG6.1**,"**Prestained, three-color** (blue + green ref @25 kDa + red ref @75 kDa)","**10 bands**, range **10–180 kDa**","green ref @25, red ref @75 (others blue)",https://www.carlroth.com/com/en/protein-markers-prestained/blueray-prestained-protein-ladder/p/1gg6.1,`CarlRoth_BlueRay_1GG6_Spec.pdf`
Carl_Roth,carlroth.com,BLUeye Prestained Protein Ladder,**1GG7.1**,"**Prestained, three-color** (blue + green ref @25 kDa + red ref @75 kDa)","**12 bands**, range **10–245 kDa**","green ref @25, red ref @75",https://www.carlroth.com/com/en/protein-markers-prestained/blueye-prestained-protein-ladder/p/1gg7.1,`CarlRoth_BlueEye_1GG7_Spec.pdf`
Carl_Roth,carlroth.com,BLUelf Prestained Protein Ladder,**1GG8.1**,"**Prestained, three-color** (blue + green ref @25 kDa + red ref @75 kDa)","**13 bands**, range **3.5–245 kDa** (widest range)","green ref @25, red ref @75",https://www.carlroth.com/com/en/protein-markers-prestained/bluelf-prestained-protein-ladder/p/1gg8.1,`CarlRoth_BlueElf_1GG8_Spec.pdf`
Carl_Roth,carlroth.com,BlueAQUA Prestained Protein Ladder,**1GG9.1**,"**Prestained, single-color (all blue)** — enhanced-intensity reference","**11 bands**, range **10–180 kDa**",enhanced-intensity ref bands @25 and @72 kDa,https://www.carlroth.com/com/en/protein-markers-prestained/blueaqua-prestained-protein-ladder/p/1gg9.1,`CarlRoth_BlueAqua_1GG9_Spec.pdf`
Dongsheng_GDSBio,gdsbio.cn,15-180KD Prestained Protein Ladder,D1011-A (250 µl) / D1011-B,"Prestained, multi-color (blue + orange)",8,"15, 25, 35, 40, 55, 70, 100, 180",https://gdsbio.cn/product/product-22457-103642,GDSBio_D1011_15-180KD.pdf (https://gdsbio.cn/wp-content/uploads/2025/03/D1011-A15-180KDPrestainedProteinLadderV1.0.pdf)
Dongsheng_GDSBio,gdsbio.cn,10-250KD Prestained Protein Ladder,D1012-A / D1012-B,"Prestained, multi-color (blue + orange + green)",10,"10, 15, 25, 35, 40, 55, 70, 100, 150, 250",https://gdsbio.cn/product/product-22457-103645,GDSBio_D1012_10-250KD.pdf (https://gdsbio.cn/wp-content/uploads/2025/03/D1012-AD1012-B10-250KDPrestainedProteinLadderV1.0.pdf)
Dongsheng_GDSBio,gdsbio.cn,10-180KD Prestained Protein Ladder,D1013-A / D1013-B,"Prestained, multi-color (blue + orange + green)",10,"10, 15, 25, 35, 40, 55, 70, 100, 130, 180",https://gdsbio.cn/product/product-22457-103646,GDSBio_D1013_10-180KD.pdf (https://gdsbio.cn/wp-content/uploads/2025/03/D1013-AD1013-B10-180KDPrestainedProteinLadderV1.0.pdf)
Dongsheng_GDSBio,gdsbio.cn,10-250KD 预染显影蛋白Marker (Prestained + Western-Blot Developable Protein Marker),D1014-A / D1014-B,"Hybrid — 10 prestained bands (blue/orange/green) + 2 unstained IgG-binding bands (30, 80 kDa) detectable by Western Blot chemiluminescence and Coomassie staining",12,"10, 15, 25, 30, 35, 40, 55, 70, 80, 100, 150, 250 (range 10–250 kDa)",https://gdsbio.cn/product/product-22457-103647,GDSBio_D1014_10-250KD_WB.pdf (https://gdsbio.cn/wp-content/uploads/2025/03/D1014-AD1014-B10-250KDMarkerV1.0.pdf)
EURx,eurx.com.pl,Perfect™ Tricolor Protein Ladder,E3210 / E3210-01 (50 loadings),"Prestained, three-color (25 kDa = green, 75 kDa = orange, others blue)",12,"11, 17, 20, 25, 35, 48, 63, 75, 100, 135, 180, 245 (range 11–245 kDa)",https://eurx.com.pl/product/e3210/,EURx_E3210_Tricolor.pdf (https://eurx.com.pl/docs/specs/en/e3210.pdf)
EURx,eurx.com.pl,Perfect™ Rainbow Protein Ladder (prestained),E3212 / E3212-01 (50 loadings),"Prestained, multi-color (15 kDa = yellow, 25 kDa = green, 80 kDa = red, 250 kDa = purple, others blue)",13,"5, 11, 15, 20, 25, 36, 50, 58, 80, 110, 135, 180, 250 (range 5–250 kDa)",https://eurx.com.pl/product/e3212/,EURx_E3212_Rainbow.pdf (https://eurx.com.pl/docs/specs/en/e3212.pdf)
EURx,eurx.com.pl,Perfect™ Amber Protein Ladder (prestained),E3214 / E3214-01 (100 loadings),"Prestained, multi-color (15 kDa = yellow, 25 kDa = green, 75 kDa = purple, 255 kDa = orange, others blue)",12,"11, 15, 20, 25, 36, 50, 58, 75, 110, 115, 180, 255 (range 11–255 kDa)",https://eurx.com.pl/product/e3214/,EURx_E3214_Amber.pdf (https://eurx.com.pl/docs/specs/en/e3214.pdf)
Epizyme,epizyme.cn,三色预染蛋白Marker 10 kDa~180 kDa (Tri-Color Prestained),WJ107 / WJ107L,"Prestained, three-color",10,"10, 15, 25, 35, 40, 55, 70, 100, 130, 180",https://www.epizyme.cn/Products/Details/25016,pdfs/Epizyme_WJ107_manual.pdf
Epizyme,epizyme.cn,双色预染蛋白Marker 15 kDa~150 kDa (Dual-Color Prestained),WJ101 / WJ101L,"Prestained, dual-color",9,"15, 20, 25, 35, 40, 50, 70, 100, 150",https://www.epizyme.cn/Products/Details/1070,pdfs/Epizyme_WJ101_manual.pdf
Epizyme,epizyme.cn,双色预染蛋白Marker 10 kDa~250 kDa (Dual-Color Prestained),WJ102 / WJ102L,"Prestained, dual-color",11,"10, 15, 20, 25, 35, 40, 50, 70, 100, 150, 250",https://www.epizyme.cn/Products/Details/1071,说明书 171527059154.pdf (与WJ101同册)
Epizyme,epizyme.cn,三色预染蛋白Marker 10 kDa~250 kDa (Tri-Color Prestained),WJ103 / WJ103L,"Prestained, three-color",11,"10, 15, 20, 25, 35, 40, 50, 70, 100, 150, 250",https://www.epizyme.cn/Products/Details/1073,说明书 171527059154.pdf (与WJ101同册)
Epizyme,epizyme.cn,双色预染蛋白Marker 10kDa~250kDa (近红外荧光成像),WJ106 / WJ106L,"Prestained, dual-color, NIR",11,"10, 15, 20, 25, 35, 40, 50, 70, 100, 150, 250",https://www.epizyme.cn/Products/Details/1072,说明书 171527059154.pdf (与WJ101同册)
Epizyme,epizyme.cn,双色预染低分子量蛋白分子量标准 1.2~40 kDa (Tricine),WJ402 / WJ402L,"Prestained, dual-color, low-MW",7,"1.2, 4.2, 7.5, 15, 20, 30, 40",https://www.epizyme.cn/Products/Details/26632,pdfs/Epizyme_WJ402_manual.pdf
Epizyme,epizyme.cn,非预染蛋白Marker (Unstained Protein Ladder),WJ201,Unstained,10,"10, 15, 20, 25, 35, 50, 70, 100, 150, 235",https://www.epizyme.cn/Products/Details/1075,pdfs/Epizyme_WJ201_manual.pdf
FroggaBio,froggabio.com,BLUelf Prestained Protein Ladder (group page),PM008-R500G / PM008-R500M,Prestained,12,"10-245 (reference bands approx. 25, 75)",https://www.froggabio.com/globalstoreview/bluelf-group.html,
FroggaBio,froggabio.com,BLUelf Prestained Protein Ladder (500 µl),PM008-R500G,Prestained,,"10-245 (reference bands approx. 25, 75)",https://www.froggabio.com/globalstoreview/bluelf-prestained-protein-ladder-pm008-r500g.html,
FroggaBio,froggabio.com,IRIS11 Prestained Protein Ladder,IRIS11,Prestained,,11 bands (approx. 10-245),https://www.froggabio.com/globalstoreview/iris11-prestained-protein-ladder-1.html,
G-Biosciences,"gbiosciences.com (A Geno Technology, Inc. brand)",PAGEmark™ Tricolor PLUS Protein Markers,786-419,"Prestained, three-color (Tricolor)",13,"Wide range 5–245 kDa in Tris-Glycine buffer (3.5–235 kDa in Bis-Tris). Reference bands: green at 25 kDa, red at 75 kDa. (Individual 13 band masses not enumerated separately in protocol text.)",https://www.gbiosciences.com/Protein-Markers/PAGEmark-Protein-Markers,"GBiosciences_PAGEmarkTricolorPLUS_786-419_protocol.pdf, GBiosciences_PAGEmarkTricolorPLUS_786-419_SDS.pdf"
G-Biosciences,"gbiosciences.com (A Geno Technology, Inc. brand)",PAGEmark™ Blue PLUS Protein Markers,786-418,Prestained (single blue chromophore),12,Wide range 10–240 kDa in Tris-Glycine buffer (9–235 kDa in Bis-Tris MOPS/MES). Two enhanced-intensity reference bands: 25 kDa and 72 kDa. (Individual 12 band masses not enumerated separately in protocol text.),https://www.gbiosciences.com/Protein-Markers/PAGEmark-Protein-Markers,"GBiosciences_PAGEmarkBluePLUS_786-418_protocol.pdf, GBiosciences_PAGEmarkBluePLUS_786-418_SDS.pdf"
GenDEPOT,www.gendepot.com,Xpert Plus Prestained Protein Marker (P8507-050),P8507-050,"Pre-stained, ready-to-use (3-color: blue chromophore + 2 orange + 1 purple reference bands). Broad range 10–250 kDa.",11,"10, 14, 18, 26, 36, 49, 64, 75, 110, 150, 250",https://gendepot.com/products/xpert-plus-prestained-protein-marker,"GenDEPOT_P8507_Insert.pdf (product insert), GenDEPOT_P8507_SDS.pdf (SDS)"
GenScript,genscript.com,Broad Multi Color Pre-Stained Protein Standard,"M00624 (also sold as M00624-250, 250 µl size)","Pre-stained, Multicolor (orange / green / blue bands)",10,"10–270 kDa range. Reference bands: 30 kDa (orange), 270 kDa (orange), 50 kDa (green); remaining bands blue. (Specific kDa values for all 10 bands not fully enumerated in page text — full list in downloaded manual PDF.)",https://www.genscript.com/molecule/M00624-Broad_Multi_Color_Pre-Stained_Protein_Standard.html,- PDF: GenScript_BroadMultiColor_M00624_manual.pdf
GenScript,genscript.com,PAGE-MASTER Protein Standard Plus,"MM1397 (MM1397-500, 500 µl)",Partially pre-stained (2 blue pre-stained reference bands at 15 & 50 kDa + 7 unstained bands),9,"10, 15, 20, 30, 40, 50, 60, 80, 120 (15 kDa & 50 kDa are pre-stained blue)",https://www.genscript.com/molecule/MM1397-PAGE_MASTER_Protein_Standard_Plus.html,GenScript_PAGEMasterPlus_MM1397_manual.pdf
GenScript,genscript.com,PAGE-MASTER Protein Standard (for SDS-PAGE),M00516,Unstained protein standard,7,"10, 20, 30, 40, 60, 80, 120",https://www.genscript.com/molecule/M00516-PAGE_MASTER_Protein_Standard_for_SDS_PAGE_.html,GenScript_PAGEMaster_M00516_manual.pdf
GenScript,genscript.com,WB-MASTER Protein Standard,M00521,"Unstained, Western Blot protein standard (recombinant proteins with IgG binding site for antibody-based visualization)",7,"20, 30, 40, 50, 60, 80, 120",https://www.genscript.com/molecule/M00521-WB_MASTER_Protein_Standard.html,GenScript_WBMaster_M00521_manual.pdf
Gold-Biotechnology,goldbio.com,"BLUEstain™ 2 Protein Ladder, 5-245 kDa",P008 (P008-500 = 500 µl size),"Prestained, three-color (tri-color) protein standard",13,"Range 3.5–245 kDa. Reference bands: green at 25 kDa, red at 75 kDa; all other bands blue. (Individual 13 band masses shown graphically in TDS/Comparison chart — see PDFs.)",https://www.goldbio.com/products/bluestain-2-protein-ladder-5-245-kda,"- PDF: GoldBio_BLUEstain2_P008_TDS.pdf, GoldBio_Ladder_Comparison.pdf"
Gold-Biotechnology,goldbio.com,"BLUEstain™ Protein Ladder, 11-245 kDa",P007 (P007-500 = 500 µl size),"Prestained, three-color (tri-color) protein standard",12,"Range 10–245 kDa. Reference bands: green at 25 kDa, red at 75 kDa; other bands blue. (Individual masses in TDS PDF.)",https://www.goldbio.com/products/bluestain-protein-ladder-11-245-kda,"- PDF: GoldBio_BLUEstain_P007_TDS.pdf, GoldBio_Ladder_Comparison.pdf"
Gold-Biotechnology,goldbio.com,"BLUEstain™ Low Range Protein Ladder, 2-40 kDa",P002 (P002-250 = 250 µl size),"Prestained, tri-color protein standard",6,"Range 2–40 kDa. Reference bands: red at 40 kDa, green at 10 kDa; additional visible bands below 10 kDa. (Individual masses in Comparison chart PDF.)",https://www.goldbio.com/products/bluestain-low-range-protein-ladder,- PDF: GoldBio_Ladder_Comparison.pdf
Jena_Bioscience,jenabioscience.com,BlueRay Prestained Protein Marker (10–180 kDa),**PS-103**,"**Prestained, three-color** (blue proteins; green ref @25 kDa, red ref @75 kDa)","**10 bands**, range **10–180 kDa**",individual band sizes shown on migration-pattern image (not in,https://www.jenabioscience.com/molecular-biology/enzymes-protein-markers/protein-markers/ps-103-blueray-prestained-protein-marker-10-180kda,"`JenaBioscience_BlueRay_PS-103_Datasheet.pdf`,"
Jena_Bioscience,jenabioscience.com,BlueEye Prestained Protein Marker (10–245 kDa),**PS-104**,"**Prestained, three-color** (blue + green ref @25 kDa, red ref @75 kDa)","**12 bands**, range **10–245 kDa**",see migration-pattern image; refs at 25 (green) & 75 (red) kDa,https://www.jenabioscience.com/molecular-biology/enzymes-protein-markers/protein-markers/ps-104-blueeye-prestained-protein-marker-10-245kda,"`JenaBioscience_BlueEye_PS-104_Datasheet.pdf`,"
Jena_Bioscience,jenabioscience.com,BlueElf Prestained Protein Marker (5–245 kDa),**PS-105**,"**Prestained, three-color** (blue + green ref @25 kDa, red ref @75 kDa)","**13 bands**, range **5–245 kDa** (widest range of the four)",see migration-pattern image; refs at 25 (green) & 75 (red) kDa,https://www.jenabioscience.com/molecular-biology/enzymes-protein-markers/protein-markers/ps-105-blueelf-prestained-protein-marker-5-245kda,"`JenaBioscience_BlueElf_PS-105_Datasheet.pdf`,"
Jena_Bioscience,jenabioscience.com,BlueClassic Prestained Protein Marker (10–180 kDa),**PS-107**,"**Prestained, single-color (all blue)** — budget/economy option","**10 bands**, range **10–180 kDa**",see migration-pattern image (no green/red reference bands),https://www.jenabioscience.com/molecular-biology/enzymes-protein-markers/protein-markers/ps-107-blueclassic-prestained-protein-marker-10-180kda,"`JenaBioscience_BlueClassic_PS-107_Datasheet.pdf`,"
Lonza,lonza.com (shop: bioscience.lonza.com),ProSieve QuadColor Protein Marker  (CURRENT),**00193837** (Lonza internal ID `000000000000193837`),"**Prestained, 4-color** (four different dyes)",**12 bands**,"**4.6, 10, 15, 25, 40, 55, 70, 100, 140, 170, 250, 300 kDa**",https://bioscience.lonza.com/lonza_bs/US/en/Electrophoresis/p/000000000000193837/ProSieve-QuadColor-Protein-Marker,`Lonza_ProSieveQuadColorProteinMarker_Instructions.pdf`
MilliporeSigma,https://www.sigmaaldrich.com (also https://www.emdmillipore.com),ColorBurst Electrophoresis Marker,C1992,"Prestained (blue/colored, ready-to-use)",~9 (range ~14–220 kDa),"~15, 25, 35, 50, 75, 100, 150, 220 (approximate; lot-calibrated)",https://www.sigmaaldrich.com/US/en/product/sigma/c1992 (could not scrape — timed out),Product Information Sheet expected at https://www.sigmaaldrich.com/deepweb/assets/sigmaaldrich/product/documents/102/829/c1992pis.pdf (unreachable)
MilliporeSigma,https://www.sigmaaldrich.com (also https://www.emdmillipore.com),"Prestained Protein Marker, Broad Range (Sigma / Novex-style)","M0531 (Prestained Protein Marker, recombinant)",Prestained,~10 (range ~10–180 kDa),"~10, 17, 25, 35, 48, 65, 85, 110, 140, 180 (approximate)",https://www.sigmaaldrich.com/US/en/product/sigma/m0531 (timed out),PI sheet unreachable
MilliporeSigma,https://www.sigmaaldrich.com (also https://www.emdmillipore.com),GE/Amersham / Cytiva HMW & LMW Calibration Kits (distributed by Sigma),"HMW-CEF / CFA (HMW Calibration Kit), LMW-CEF / CFA (LMW Calibration Kit) — also MWGF200 (HMW), MWGF100 (LMW)","Unstained (size-exclusion / SDS-PAGE calibration standards, natural)",,,,
NewEnglandBiolabs,https://www.neb.com (product pages 301-redirect to neb.cn in this environment; both reachable via curl),"Unstained Protein Standard, Broad Range (10–200 kDa)",P7717 (NEB # P7717; direct replacement of legacy P7706/P7708 lines),Unstained (pure recombinant proteins),12 (range 10–200 kDa),"10, 15, 20, 25, 35, 50, 70, 100, 120, 150, 200 (and a small ~3 kDa reference per NEB chart; band set per published spec)",https://www.neb.com/en-us/products/p7717-unstained-protein-standard-broad-range-10-200-kda,pdfs/NEB_P7717_Unstained_COA.pdf (lot-specific; ~100 KB)
NewEnglandBiolabs,https://www.neb.com (product pages 301-redirect to neb.cn in this environment; both reachable via curl),"Blue Prestained Protein Standard, Broad Range (11–250 kDa)","P7718 (direct replacement of legacy NEB# P7706, 11–190 kDa)","Prestained (blue; covalently coupled blue chromophore, recombinant)",11 (range 11–250 kDa),"11, 17, 25, 35, 50, 70, 90, 130, 170, 220, 250 (per NEB chart/spec)",https://www.neb.com/en-us/products/p7718-blue-prestained-protein-standard-broad-range-11-250-kda,pdfs/NEB_P7718_BluePrestained_COA.pdf (~68 KB)
NewEnglandBiolabs,https://www.neb.com (product pages 301-redirect to neb.cn in this environment; both reachable via curl),"Color Prestained Protein Standard, Broad Range (10–250 kDa)",P7719,"Prestained multicolor (recombinant, multi-chromophore)",11 (range 10–250 kDa),"10, 15, 25, 35, 50, 70, 100, 140, 180, 220, 250 (per NEB chart/spec; two reference bands intensified)",https://www.neb.com/en-us/products/p7719-color-prestained-protein-standard-broad-range-10-250-kda,pdfs/NEB_P7719_ColorPrestained_COA.pdf (~104 KB)
OriGene,origene.com,MYC/DDK Tagged Western Blot Molecular Weight Markers,MWM1001,"Western Blot / Immunoprecipitation reagent — antibody-detectable molecular weight markers (NOT a prestained gel ladder). Consists of 5 over-expressed cell lysates with Myc/DDK tags, detected via anti-Myc / anti-DDK antibodies.",5,Range 23–158 kDa. (Specific 5 band masses shown in western blot image; not enumerated as text in datasheet.),https://www.origene.com/catalog/others/molecular-tools/mwm1001-mycddk-tagged-western-blot-molecular-weight-markers,OriGene_MWM1001_datasheet.pdf
Promega,https://www.promega.com (geo-redirects to https://www.promega.com.cn in this environment),"Protein Molecular Weight Marker, Broad Range",V8491 / V849A (also V8495 / V849B pack variants) — primary SKU **V8491**,Unstained (natural proteins; for SDS-PAGE / Coomassie or silver stain),~8 (range ~20–120 kDa / 15–150 kDa depending on spec),"~20, 30, 40, 50, 60, 80, 100, 120 (natural-protein mix; verify on current COA)",https://www.promega.com/products/protein-analysis/protein-purification-and-detection/protein-molecular-weight-markers/catnum-v8491/,Product Information sheet (TB-style) — direct PDF host returned 404; not saved.
Promega,https://www.promega.com (geo-redirects to https://www.promega.com.cn in this environment),"Protein Molecular Weight Marker, Mid Range",V849C (Mid Range) — also packaged as V849A,Unstained (natural proteins),~7 (range ~14–66 kDa),"~14, 21, 31, 45, 66 (BSA/ovalbumin/CA typical mix — confirm on Promega PI)",https://www.promega.com/products/protein-analysis/protein-purification-and-detection/protein-molecular-weight-markers/,not retrievable.
Promega,https://www.promega.com (geo-redirects to https://www.promega.com.cn in this environment),"Protein Molecular Weight Markers, Biotinylated",V8495 (Biotinylated marker set) / also W1501-family variants,Biotinylated (for use with streptavidin-HRP chemiluminescent western detection),variable (~8 across broad range),broad-range set; confirm on Promega PI,https://www.promega.com/products/protein-analysis/protein-purification-and-detection/protein-molecular-weight-markers/,not retrievable.
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)","Protein Test Mixture 6 for SDS PAGE  (unstained, lyophilized)",**39207.01**,"Unstained, lyophilized natural-protein mixture",,,,
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)","Protein Test Mixture 4 for SDS PAGE  (unstained, lyophilized)",**39208.01**,"Unstained, lyophilized natural-protein mixture",,,,
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)","Protein Test Mixture 5 for SDS PAGE  (unstained, lyophilized)",**39209.01**,"Unstained, lyophilized natural-protein mixture",,,,
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)","SERVA Unstained SDS PAGE Protein Marker, 6.5–97 kDa  (liquid mix)",**39214.01**,"**Unstained**, ready-to-use liquid",,,,
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)",SERVA Unstained Protein Standard IV,**39250.01**,"**Unstained**, ready-to-use liquid",,,,
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)",SERVA Triple Color Standard I,**39251.01**,"**Prestained, three-color** (covalently stained; for monitoring run +",,,,
SERVA,"serva.de (SERVA Electrophoresis GmbH, Heidelberg, Germany)",SERVA Triple Color Protein Standard II,**39257.01**,"**Prestained, three-color**",,,,
